dataset,split,classifier,n_train,n_test,auc,accuracy,sensitivity,specificity,precision,f1,brier
CKD,0,LR,320,80,0.998,0.9875,0.98,1.0,1.0,0.98989898989899,0.01844273145727563
CKD,0,MLP,320,80,0.9733333333333333,0.9125,0.92,0.9,0.9387755102040817,0.9292929292929293,0.12975434921004325
CKD,0,RFC,320,80,1.0,0.9875,0.98,1.0,1.0,0.98989898989899,0.015879620922187514
CKD,0,XGB,320,80,1.0,0.9875,0.98,1.0,1.0,0.98989898989899,0.006226558703929186
CKD,1,LR,320,80,1.0,0.9875,0.98,1.0,1.0,0.98989898989899,0.01245492482237138
CKD,1,MLP,320,80,0.9966666666666667,0.9625,0.94,1.0,1.0,0.9690721649484536,0.048010753872985354
CKD,1,RFC,320,80,1.0,0.975,1.0,0.9333333333333333,0.9615384615384616,0.9803921568627451,0.014162014201121047
CKD,1,XGB,320,80,0.9993333333333333,0.9875,0.98,1.0,1.0,0.98989898989899,0.009244924411177635
CKD,2,LR,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.006074061985551979
CKD,2,MLP,320,80,0.9906666666666667,0.9375,0.92,0.9666666666666667,0.9787234042553191,0.9484536082474226,0.11446359212899697
CKD,2,RFC,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.005992955874058814
CKD,2,XGB,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.001752837561070919
CKD,3,LR,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.002868891570252086
CKD,3,MLP,320,80,1.0,0.9875,1.0,0.9666666666666667,0.9803921568627451,0.9900990099009901,0.08544735702694303
CKD,3,RFC,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.006011084304411159
CKD,3,XGB,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.002102596452459693
CKD,4,LR,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.0051418849066588645
CKD,4,MLP,320,80,0.9993333333333333,0.9875,0.98,1.0,1.0,0.98989898989899,0.02125178115075077
CKD,4,RFC,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.004410743593845643
CKD,4,XGB,320,80,1.0,1.0,1.0,1.0,1.0,1.0,0.00018668141274247319
