generator,classifier,size_multiplier,n_rows,auc_mean,auc_std,accuracy_mean,sensitivity_mean,specificity_mean,precision_mean,f1_mean,brier_mean,pcd_mean,ws_mean,js_mean,dcr_mean,dcr_min,duplicate_rate_mean
REAL,lr,1,5,0.9294372294372296,0.0221716244306234,0.8459016393442622,0.8071428571428572,0.8787878787878787,0.8510276497695852,0.8266236641516462,0.1073748432090905,,,,,,
GAUSSIAN_EMPIRICAL,lr,3,15,0.926046176046176,0.0288248987383396,0.848087431693989,0.8285714285714286,0.8646464646464647,0.8387432287243671,0.8316497997843797,0.11715763654933,0.0710281464275976,0.1087160144330117,0.0003011763568929,2.1012329364270026,0.1573144595498064,0.0
COND_DDPM,lr,3,15,0.9247474747474748,0.0283130105593292,0.8437158469945356,0.7666666666666667,0.9090909090909092,0.8792705394259617,0.816865068300082,0.111975560734317,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
EMPIRICAL_BOOTSTRAP,lr,2,15,0.9212121212121211,0.0254771060186717,0.8404371584699454,0.8142857142857143,0.8626262626262626,0.8345373808822085,0.823343568202658,0.1138316041593512,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
GAUSSIAN_EMPIRICAL,mlp,3,15,0.9185425685425684,0.0372854552118328,0.8327868852459017,0.8166666666666667,0.8464646464646465,0.8213797785681843,0.8162397816155454,0.1200276953715743,0.0710281464275976,0.1087160144330117,0.0003011763568929,2.1012329364270026,0.1573144595498064,0.0
COND_DDPM,mlp,3,15,0.9126262626262628,0.0334860514086219,0.819672131147541,0.7238095238095238,0.901010101010101,0.86386945347639,0.782818285158308,0.1363518545721999,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
EMPIRICAL_BOOTSTRAP,mlp,3,15,0.9116883116883118,0.0346750081246065,0.8295081967213115,0.8023809523809523,0.8525252525252526,0.8251962696732812,0.8109090884619817,0.1294252782887008,0.0268926499914646,0.0441158580284471,0.000298787431022,7.3364563753493405e-09,0.0,1.0
REAL,mlp,1,5,0.8928571428571429,0.0341552680477478,0.8131147540983606,0.8285714285714286,0.8,0.7816000729793833,0.8027980871719528,0.1616655525906338,,,,,,
GAUSSIAN_EMPIRICAL,rfc,2,15,0.9225829725829726,0.031774363774648,0.8360655737704918,0.8095238095238095,0.8585858585858586,0.8321192368874697,0.8179995968457757,0.1126827751383991,0.0750165366760607,0.113730264812895,0.0004900212917887,2.0970888465927406,0.2543189210232817,0.0
REAL,rfc,1,5,0.90995670995671,0.0308811580284546,0.8032786885245902,0.7785714285714286,0.8242424242424242,0.7893522588522588,0.7824347699819398,0.1231246409233674,,,,,,
EMPIRICAL_BOOTSTRAP,rfc,2,15,0.9050505050505052,0.0253066534179661,0.8109289617486338,0.7952380952380953,0.8242424242424242,0.793222701734196,0.7930078213130183,0.1247776192451582,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
COND_DDPM,rfc,2,15,0.8994949494949495,0.0322422265681128,0.8032786885245902,0.7666666666666667,0.8343434343434344,0.8032483283778225,0.7812271951824574,0.1365422332287065,0.068398778135882,0.1657628745466531,0.0028575363370876,2.038490160306295,0.2470801323652267,0.0
GAUSSIAN_EMPIRICAL,xgb,2,15,0.922871572871573,0.0279848888994785,0.8316939890710382,0.7928571428571428,0.8646464646464646,0.8347550337850671,0.8106256514802054,0.1228014489014943,0.0750165366760607,0.113730264812895,0.0004900212917887,2.0970888465927406,0.2543189210232817,0.0
REAL,xgb,1,5,0.8991341991341992,0.0382434518403543,0.8229508196721312,0.7857142857142858,0.8545454545454545,0.8210270655270655,0.8009407084878782,0.1268523082137108,,,,,,
EMPIRICAL_BOOTSTRAP,xgb,2,15,0.8979076479076479,0.0408206209518488,0.8349726775956284,0.7928571428571428,0.8707070707070707,0.8387614179882763,0.8132604662316157,0.132025721669197,0.0341132879907982,0.0532722495471771,0.0004633547103742,7.47349812244251e-09,0.0,1.0
COND_DDPM,xgb,3,15,0.8932900432900434,0.0425371291001046,0.8153005464480875,0.7309523809523809,0.8868686868686868,0.8516687852044266,0.7815726911687529,0.1303639560937881,0.0651403050419307,0.1646036506753471,0.0025945994962601,2.043811575571696,0.2741884291172027,0.0
