feature,n_unique_including_missing,n_unique_nonmissing,levels_with_fewer_than_10_rows,rows_in_levels_with_fewer_than_10,rare_row_pct_lt10,most_common_value,most_common_value_pct
diag_3,790,789,393,1366,1.3422950690800464,250,11.354479885226892
diag_2,749,748,368,1210,1.1890022207810076,276,6.634828921250713
diag_1,717,716,321,1178,1.1575575339504354,428,6.742920032230804
num_lab_procedures,118,118,18,60,0.05895878780732268,1,3.152329854764853
num_medications,75,75,11,42,0.04127115146512588,13,5.980386376589431
medical_specialty,73,72,20,68,0.06681995951496571,<NA>,49.08220820313268
number_outpatient,39,39,22,62,0.06092408073423344,0,83.55148084822042
number_emergency,33,33,19,44,0.04323644439203663,0,88.81453530648743
discharge_disposition_id,26,26,5,24,0.023583515122929073,1,59.18872707977124
number_inpatient,21,21,6,20,0.019652929269107562,0,66.45638032348722
admission_source_id,17,17,5,15,0.01473969695183067,7,56.496275769903505
payer_code,18,17,1,1,0.000982646463455378,<NA>,39.5574160328597
number_diagnoses,16,16,2,16,0.01572234341528605,9,48.615451132991375
time_in_hospital,14,14,0,0,0.0,3,17.447870605113692
age,10,10,0,0,0.0,[70-80),25.615628009354797
weight,10,9,1,3,0.002947939390366134,<NA>,96.85847925633315
admission_type_id,8,8,0,0,0.0,1,53.053082561955854
num_procedures,7,7,0,0,0.0,0,45.8424228131203
race,6,5,0,0,0.0,Caucasian,74.77841322249081
acarbose,4,4,1,3,0.002947939390366134,No,99.69734488925575
chlorpropamide,4,4,2,7,0.006878525244187646,No,99.91549240414284
glimepiride,4,4,0,0,0.0,No,94.89908220820314
glipizide,4,4,0,0,0.0,No,87.53414696460507
glyburide,4,4,0,0,0.0,No,89.53481516420023
glyburide-metformin,4,4,2,14,0.013757050488375291,No,99.3062515968005
insulin,4,4,0,0,0.0,No,46.56073737790617
metformin,4,4,0,0,0.0,No,80.35886248845391
miglitol,4,4,2,7,0.006878525244187646,No,99.9626594343887
nateglinide,4,4,0,0,0.0,No,99.30919953619087
pioglitazone,4,4,0,0,0.0,No,92.79916671579899
repaglinide,4,4,0,0,0.0,No,98.48770709274217
rosiglitazone,4,4,0,0,0.0,No,93.74545526010651
A1Cresult,4,3,0,0,0.0,<NA>,83.27732248491637
gender,3,3,1,3,0.002947939390366134,Female,53.75862272271682
max_glu_serum,4,3,0,0,0.0,<NA>,94.74677200636755
tolazamide,3,3,1,1,0.000982646463455378,No,99.96167678792524
acetohexamide,2,2,1,1,0.000982646463455378,No,99.99901735353654
change,2,2,0,0,0.0,No,53.80480710649922
diabetesMed,2,2,0,0,0.0,Yes,77.0031248157538
glimepiride-pioglitazone,2,2,1,1,0.000982646463455378,No,99.99901735353654
glipizide-metformin,2,2,0,0,0.0,No,99.98722559597508
metformin-pioglitazone,2,2,1,1,0.000982646463455378,No,99.99901735353654
metformin-rosiglitazone,2,2,1,2,0.001965292926910756,No,99.99803470707309
tolbutamide,2,2,0,0,0.0,No,99.97739913134053
troglitazone,2,2,1,3,0.002947939390366134,No,99.99705206060963
citoglipton,1,1,0,0,0.0,No,100.0
examide,1,1,0,0,0.0,No,100.0
