source,classifier,n_runs,auroc_mean,auprc_mean,brier_mean,f1_mean
EMPIRICAL_BOOTSTRAP_20K,LR,3,0.623419,0.203016,0.09998,0.088314
EMPIRICAL_BOOTSTRAP_20K,MLP,3,0.56164,0.149655,0.125576,0.100196
EMPIRICAL_BOOTSTRAP_20K,RFC,3,0.649568,0.208939,0.097326,0.0
EMPIRICAL_BOOTSTRAP_20K,XGB,3,0.651849,0.208688,0.097466,0.032972
GAUSSIAN_EMPIRICAL_20K,LR,3,0.647009,0.213067,0.107823,0.170869
GAUSSIAN_EMPIRICAL_20K,MLP,3,0.632889,0.204094,0.113202,0.1743
GAUSSIAN_EMPIRICAL_20K,RFC,3,0.64069,0.195168,0.100359,0.106842
GAUSSIAN_EMPIRICAL_20K,XGB,3,0.644711,0.202975,0.11108,0.162784
GREAT_20K,LR,3,0.563002,0.164326,0.109081,0.109039
GREAT_20K,MLP,3,0.601553,0.170392,0.100112,0.0
GREAT_20K,RFC,3,0.595754,0.16311,0.100724,0.0
GREAT_20K,XGB,3,0.579707,0.152656,0.103069,0.007988
REAL_20K,LR,3,0.63969,0.219164,0.097738,0.07219
REAL_20K,MLP,3,0.647939,0.212114,0.098249,0.038524
REAL_20K,RFC,3,0.658812,0.21826,0.096931,0.0
REAL_20K,XGB,3,0.66713,0.222776,0.096458,0.030954
REAL_FULL_REFERENCE,LR,3,0.668458,0.237113,0.095796,0.062133
REAL_FULL_REFERENCE,MLP,3,0.674816,0.240224,0.095642,0.026057
REAL_FULL_REFERENCE,RFC,3,0.676669,0.241053,0.096017,0.0
REAL_FULL_REFERENCE,XGB,3,0.684063,0.243261,0.095179,0.019698
